name,symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,Mgr tenure,assets,Category
Calvert Social Investment Equity C,CSECX,9.76,26.47,9.76,15.82,,,0,**,2.3,0,19453699028.00,Large Value
Centura Large-Cap C,CEICX,15.77,23.38,15.77,,,,1.55,,0.75,2,406403933.00,Large Value
Chase Equity-Income Instl,RIEIX,26.2,18.89,26.2,24.93,20.3,15.65,0.72,****,1,10,2058611171.00,Large Value
Chase Vista Growth & Income Instl,VGIIX,14.5,16.76,14.5,,,,0.61,,0.86,2,114144732.00,Large Value
Chase Vista Large Cap Equity Instl,TREQX,22.18,19.08,22.18,26.23,21.44,,1.02,*****,0.4,4,2111536088.00,Large Value
Chase Vista Select Equity Income,VEISX,11.88,16.86,11.88,,,,2.4,,0.03,2,438849119.00,Large Value
CitiFunds Growth and Income,CFGIX,,17.18,,,,,,,,0,432067351.00,Large Value
Clipper,CFIMX,19.2,12.32,19.2,22.91,21.33,17.63,1.85,****,1.08,14,13559785036.00,Large Value
Consulting Group Large Cap Value Eqty,TLVUX,12.62,16.84,12.62,21.26,18.14,,1.21,****,0.78,,87232273.00,Large Value
CrestFunds Value Tr,CRVAX,18.2,16.41,18.2,21.58,18.19,,0.55,****,1.02,1,143647311.00,Large Value
Davis Growth & Income Y,,,16.41,,,,,,,1.14,0,112658832.00,Large Value
Davis NY Venture Y,DNVYX,15.12,21.43,15.12,,,,0.72,,0.59,2,23707359006.00,Large Value
Delaware Decatur Income Instl,DEDIX,10.1,11.9,10.1,19.91,,,2.71,****,0.68,4,4458353748.00,Large Value
Delaware Decatur Total Return Instl,DERIX,10.9,13.49,10.9,20.65,19.12,,1.67,****,0.83,5,77227405.00,Large Value
DFA U.S. Large Cap Value,DFLVX,11.98,16.78,11.98,19.93,17.9,,1.49,***,0.35,5,890255296.00,Large Value
DFA U.S. Large Cap Value II,DFCVX,11.98,16.78,11.98,19.68,,,1.69,***,0.82,4,594423326.00,Large Value
DFA U.S. Large Cap Value III,DFUVX,12.18,16.83,12.18,20.08,,,1.68,***,0.26,3,3239368523.00,Large Value
Diversified Investors Equity Income,DVEIX,12.45,13.45,12.45,19.68,,,1.13,****,1,4,285188819.00,Large Value
Diversified Investors Equity Value,DVEVX,10.75,10.84,10.75,,,,8.54,,1.07,2,1968149000.00,Large Value
DLB Value,DLBVX,5.25,13.06,5.25,18.14,,,1.73,***,0.71,3,7004825603.00,Large Value
Dodge & Cox Stock,DODGX,5.4,13.26,5.4,18.28,18.34,16.12,1.59,***,0.57,32,658140795.00,Large Value
Dreyfus,DREVX,17.15,20.31,17.15,14.55,12.24,11.83,0.91,**,0.71,1,485840047.00,Large Value
Dreyfus Equity Dividend,DREDX,10.97,10.43,10.97,18.55,,,1.65,***,1.27,3,200000000.00,Large Value
Dreyfus Growth & Income,DGRIX,12.83,18.54,12.83,14.4,12.15,,0.88,**,1.01,1,1080360000.00,Large Value
Dreyfus Growth Opportunity,DREQX,16.13,20.53,16.13,17.78,14.46,12.03,0.66,***,1.06,3,7695881296.00,Large Value
Dreyfus Premier Core Value Instl,DCVFX,7.2,15.07,7.2,17.77,17.37,,0.66,***,1.04,0,202245995.00,Large Value
Dreyfus Premier Core Value R,DTCRX,7.05,15.11,7.05,17.83,,,0.77,***,0.89,0,69363981.00,Large Value
Dreyfus Premier Growth & Income R,DRERX,11.25,18.65,11.25,26.08,,,0.24,****,0.99,3,70865110.00,Large Value
Dreyfus Premier Value R,DPVRX,10.25,16.4,10.25,14.93,,,0.58,**,0.94,3,537851182.00,Large Value
Edgar Lomax Value,,10.84,10.51,10.84,,,,0.62,,,1,15540276.00,Large Value
Endowments Growth and Income,ENDIX,11.19,11.36,11.19,18.92,16.97,15.02,2.81,****,0.73,9,71277472.00,Large Value
Enterprise Managed Y,ENMYX,7.19,11.9,7.19,16.92,,,0.96,***,1.04,3,1369639633.00,Large Value
Evergreen Select Diversified Val Inst,ESUIX,,19.3,,,,,,,,0,231641941.00,Large Value
Evergreen Select Diversified Val InSv,,,19.26,,,,,,,,0,74511828.00,Large Value
Evergreen Select Equity Income Instl,,-3.24,7.37,-3.24,,,,3.12,,,1,156427585.00,Large Value
Evergreen Select Equity Income InSvc,,,7.3,,,,,,,,0,1453785377.00,Large Value
Evergreen Select Strategic Value Inst,,6.23,16.86,6.23,,,,1.35,,,1,56828160.00,Large Value
Evergreen Select Strategic Value InSv,,,16.78,,,,,,,,0,7779327761.00,Large Value
Evergreen Value Y,EGVYX,9.77,11.55,9.77,18.14,17.35,,1.02,***,0.7,0,248975094.00,Large Value
FBP Contrarian Equity,FBPEX,17.76,24.61,17.76,21.94,19.86,,0.5,****,1.12,5,1054619012.00,Large Value
Federated Stock,FSTKX,17.26,16.48,17.26,24.07,20.86,16.24,0.87,****,0.99,1,43140900.00,Large Value
Fidelity Advisor Equity Income Instl,EQPIX,16.77,17.9,16.77,19.45,19.59,15.97,1.1,****,0.67,2,161817837.00,Large Value
Fidelity Advisor Growth Opport Instl,FAGCX,24.63,20.63,24.63,23.97,,,1.15,****,0.7,3,94478050.00,Large Value
Fidelity Equity-Income,FEQIX,12.52,16.16,12.52,20.97,18.52,15.69,1.47,****,0.65,5,846362443.00,Large Value
Fidelity Equity-Income II,FEQTX,22.98,20.55,22.98,22.91,19.34,,1.01,****,0.68,2,216325137.00,Large Value
First American Equity-Income Y,FAQIX,16.22,11.45,16.22,21.31,,,2.48,****,0.75,4,74810751.00,Large Value
First American Large Cap Value Y,FSKIX,9.99,16.64,9.99,20.48,,,1.25,****,0.8,11,1383439.00,Large Value
First Omaha Equity,FOEQX,7.84,10.74,7.84,14.19,15.19,,1.71,***,1.04,6,373400866.00,Large Value
Flag Investors Equity Partners Instl,FLIPX,25.63,30.03,25.63,,,,0.17,,1.1,2,64876764.00,Large Value
Flex-funds Muirfield,FLMFX,29.56,25.45,29.56,17.58,16,13.9,1.51,***,1.29,10,12513875.00,Large Value
Florida Street Growth,,2.85,20.19,2.85,,,,0.15,,,,31933215.00,Large Value
Gabelli Equity-Income,GABEX,20.45,20.53,20.45,21.98,18.68,,7.94,****,1.78,7,123555617.00,Large Value
Galaxy Equity Value Tr,GEVTX,24.15,27.21,24.15,24.58,,,0.23,****,1.04,4,163746412.00,Large Value
Galaxy Growth & Income Tr,SMGIX,15.96,20.76,15.96,21.81,19.76,,0.93,****,1.03,6,2490733232.00,Large Value
Glenmede Large Cap Value,GTMEX,17.51,22.78,17.51,24.86,17.66,,1.46,***,0.13,0,179955405.00,Large Value
Glenmede Tax Managed Equity,GTCEX,14.86,19.08,14.86,26.53,21.27,,1.49,****,0.13,0,2359230306.00,Large Value
GMO U.S. Core II,GMTWX,24.52,19.4,24.52,,,,1.27,,,2,271222023.00,Large Value
GMO U.S. Core III,GMCTX,24.69,19.49,24.69,25.6,23.78,19.74,1.3,*****,0.48,13,18430356088.00,Large Value
GMO U.S. Core IV,GMRFX,,19.5,,,,,,,,0,117050741.00,Large Value
GMO Value III,GMOVX,11.66,12.76,11.66,20.69,19.57,,1.82,****,0.61,8,469422026.00,Large Value
Golden Oak Value Instl,GOVAX,6.18,15.27,6.18,,,,0.45,,,,1724670832.00,Large Value
Goldman Sachs Growth & Inc Instl,GSIIX,-4.98,7.28,-4.98,,,,1.28,,0.83,1,4502602651.00,Large Value
Goldman Sachs Growth & Inc Svc,GSGSX,-5.45,7.15,-5.45,,,,0.76,,1.32,1,22293528.00,Large Value
Harris Insight Equity A,HIEQX,13.7,18.99,13.7,24.37,20.62,17.23,0.32,****,0.94,2,732269314.00,Large Value
Harris Insight Equity Instl,HEQIX,14.09,19.13,14.09,,,,0.58,,0.9,2,831892000.00,Large Value
Harris Insight Equity-Income A,HENAX,22.71,19.67,22.71,,,,0.84,,1.18,2,8518077.00,Large Value
Harris Insight Equity-Income Instl,HEIIX,23.03,19.81,23.03,,,,1.09,,0.93,2,2591099279.00,Large Value
HighMark Income-Equity Fid,HMIEX,15.12,16.71,15.12,19.25,18.09,15.43,1.33,***,0.99,0,1777495964.00,Large Value
HighMark Value Momentum Fid,HMVMX,9.72,18.05,9.72,21.69,19.65,,1.2,****,0.81,0,8315949.00,Large Value
Hotchkis & Wiley Equity-Income,HWEQX,4.32,9.22,4.32,17.11,15.81,14.13,1.95,***,0.87,4,,Large Value
Huntington Income-Equity Tr,HIEFX,17.79,12.24,17.79,20.15,17.09,,2.62,****,0.81,8,202559.00,Large Value
ICAP Discretionary Equity,ICDEX,10.17,14.25,10.17,21.17,,,1.57,****,0.8,4,3915056.00,Large Value
ICAP Equity,ICAEX,11.42,16.48,11.42,22,,,1.29,****,0.8,4,21923940.00,Large Value
ICAP Select Equity,,14.36,17.66,14.36,,,,0.44,,,1,43439262.00,Large Value
Idex Value Equity C,,-7.81,7.31,-7.81,,,,0,,2.05,1,717266774.00,Large Value
IDS Diversified Equity-Income Y,IDQYX,11.9,15.44,11.9,16.93,,,1.92,***,0.76,0,281770612.00,Large Value
IDS Equity Value Y,,9.27,16.27,9.27,18.38,,,1.57,***,0.76,0,25297055.00,Large Value
Intrust Stock Instl Svc,ISISX,9.85,10.34,9.85,,,,0.7,,,1,1060920.00,Large Value
Invesco Value Equity,FSEQX,15.05,16.66,15.05,20.39,18.84,15.61,0.76,****,1.15,5,1217038.00,Large Value
John Hancock Indep Medium Cap,JHMCX,12.25,18,12.25,20.49,,,0.63,***,1,3,272013881.00,Large Value
John Hancock Indep Value,JHIVX,18.79,18.79,18.79,23.25,,,1.17,****,0.95,3,3105277.00,Large Value
Kemper Value S,SCVAX,11.9,17.07,11.9,23.04,19.77,,0.77,****,1.23,6,62085018.00,Large Value
Kemper-Dreman High Return Equity I,,12.54,14.32,12.54,24.49,,,2.76,****,0.83,3,2970182.00,Large Value
Kent Growth & Income Instl,KNVEX,28.07,21.19,28.07,23.84,20.83,,0.71,****,0.92,0,45150424.00,Large Value
Kent Growth & Income Invmt,KNVIX,27.69,21.08,27.69,23.52,20.58,,0.5,****,1.17,0,1209190.00,Large Value
Kobren Moderate Growth,KOMGX,3.44,11.27,3.44,,,,1.78,,0.92,2,1040444.00,Large Value
Lazard Equity Instl,LZEQX,17.31,21.97,17.31,20.74,20.3,16.8,1.15,****,0.86,11,28247548.00,Large Value
Lazard Equity Open,LZEOX,16.98,21.88,16.98,,,,0.89,,1.22,1,72789381.00,Large Value
Legg Mason Value Nav,LMNVX,49.4,36.15,49.4,42.4,,,0,*****,0.73,4,958596279.00,Large Value
Legg Mason Value Prim,LMVTX,48.04,35.86,48.04,41.09,32.01,20.92,0,*****,1.73,16,6324541.00,Large Value
Lexington Corporate Leaders,LEXCX,9.94,8.91,9.94,18.33,18.01,16.43,4.25,****,0.62,10,399763798.00,Large Value
Lipper U.S. Equity Group,LUEGX,11.25,11.92,11.25,,,,0.9,,1.35,2,71677844.00,Large Value
Lipper U.S. Equity Prem,LUEPX,11.44,12.01,11.44,17.88,,,1.09,***,1.1,3,4706649.00,Large Value
Lipper U.S. Equity Ret,LUERX,11.25,11.91,11.25,,,,0.83,,1.35,2,38754750.00,Large Value
Loomis Sayles Core Value Instl,LSGIX,10.54,15.65,10.54,20.05,18.32,,1.26,****,0.84,7,321420353.00,Large Value
Loomis Sayles Core Value Ret,,10.15,15.53,10.15,,,,0.97,,1.1,1,45450000.00,Large Value
Loomis Sayles Strategic Value Instl,,11.84,25.62,11.84,,,,0.15,,1,1,6447978.00,Large Value
Loomis Sayles Strategic Value Ret,,11.57,25.56,11.57,,,,0,,1.25,1,485540000.00,Large Value
MainStay Instl Value Equity Instl,NIVEX,-8.1,6.86,-8.1,11.32,12.56,,1.22,**,0.93,8,6937000.00,Large Value
MainStay Instl Value Equity Instl Svc,MAVSX,-8.3,6.86,-8.3,11.04,,,0.94,**,1.18,4,1334437056.00,Large Value
Managers Income Equity,MGIEX,11.73,14.4,11.73,18.49,17.68,15.66,1.2,***,1.32,,89881458.00,Large Value
Marshall Equity-Income,MREIX,10.48,11.67,10.48,19.52,17.66,,1.85,****,1.22,5,87159545.00,Large Value
MAS Equity Instl,MPEQX,19.67,21.34,19.67,21.99,19.41,17.48,0.9,****,0.59,12,30836358.00,Large Value
Matterhorn Growth,FWLEX,12.27,19.36,12.27,12.14,9.3,12.7,0,**,3.65,1,56796135.00,Large Value
MFS Equity Income I,,17.66,11.97,17.66,,,,1.22,,1.18,1,41038733.00,Large Value
Montgomery Equity Income P,MEIPX,10.11,12.6,10.11,,,,1.86,,1.1,4,103493414.00,Large Value
Montgomery Equity Income R,MNEIX,10.74,12.78,10.74,18.23,,,2.1,***,0.85,4,117621180.00,Large Value
MSDW Instl Value Equity A,MSIVX,8.79,18.45,8.79,18.95,17.3,,1.42,***,0.7,8,94539597.00,Large Value
MSDW Instl Value Equity B,,8.49,18.47,8.49,,,,1.15,,0.95,2,1888622.00,Large Value
MSDW Value-Added Market Eq D,VADDX,12.15,16.73,12.15,,,,1.1,,0.58,1,1150498.00,Large Value
Munder Growth & Income K,MUGKX,10.07,13.69,10.07,18.96,,,1.45,***,1.19,3,1046801.00,Large Value
Munder Growth & Income Y,MUGYX,10.42,13.83,10.42,19.29,,,1.7,****,0.94,3,99602077.00,Large Value
N/I Numeric Investors Larger Cap Val,NILVX,10.78,14.68,10.78,,,,0.82,,,1,7368565.00,Large Value
Nations Value Inv A,NVLEX,17.14,19.39,17.14,21.37,18.66,,0.53,****,1.2,9,935533.00,Large Value
Nations Value Prim A,NVLUX,17.34,19.54,17.34,21.65,18.9,,0.73,****,0.95,9,11908152.00,Large Value
Nations Value Prim B,NVLBX,17.11,19.31,17.11,,,,0.53,,1.45,2,1082492.00,Large Value
Neuberger Berman Focus,NBSSX,13.24,34.51,13.24,17.78,17.55,17.01,0.24,***,0.84,11,25339991.00,Large Value
Neuberger Berman Focus Assets,NBFAX,17.56,40.19,17.56,,,,0,,1.5,2,18135216.00,Large Value
Neuberger Berman Focus Tr,NBFCX,13.17,34.52,13.17,17.78,17.54,,0.13,***,0.94,5,397343277.00,Large Value
Neuberger Berman Guardian,NGUAX,2.35,23.12,2.35,12.48,13.59,14.89,0.57,***,0.79,3,52230917.00,Large Value
Neuberger Berman Guardian Assets,NBGUX,1.67,22.98,1.67,,,,0,,1.5,2,70127586.00,Large Value
Neuberger Berman Guardian Tr,NBGTX,2.36,23.16,2.36,12.4,13.73,,0.45,**,0.87,3,10013945.00,Large Value
Neuberger Berman Partners,NPRTX,6.28,16.37,6.28,20.21,18.17,16.22,0,***,0.8,8,6164896.00,Large Value
Neuberger Berman Partners Assets,NBPBX,5.59,16.17,5.59,,,,0.39,,1.5,8,219304669.00,Large Value
Neuberger Berman Partners Tr,NBPTX,6.14,16.27,6.14,20.11,18.32,,0,***,0.9,8,158761131.00,Large Value
New England Equity Income C,,1.95,11.27,1.95,,,,0.74,,2.25,1,439939884.00,Large Value
New England Growth Opportunities C,NECOX,22.93,18.83,22.93,23.83,,,0,****,2,3,139704701.00,Large Value
New England Value C,NECVX,6.4,17.37,6.4,17.01,,,0,***,2,0,145310000.00,Large Value
New England Value Y,NEVYX,7.39,17.62,7.39,18.11,,,0.35,***,1,0,64421679.00,Large Value
Nicholas-Applegate Value I,NAVIX,20.13,16.99,20.13,,,,0.53,,1,2,2751426.00,Large Value
Nuveen Growth and Income Stock R,NNGRX,10.26,15.54,10.26,,,,1.05,,0.95,2,390694.00,Large Value
Oakmark,OAKMX,3.73,12.53,3.73,16.92,17.29,,1.06,***,1.08,7,29310962.00,Large Value
One Group Large Company Value Fid,HLQVX,13.89,15.5,13.89,19.94,16.78,,1.12,***,0.95,0,41197584.00,Large Value
Oppenheimer Disciplined Value Y,CGRYX,8.91,18.43,8.91,,,,1.15,,0.78,12,3723990.00,Large Value
O'Shaughnessy Dogs of the Market,OSDGX,9.1,14.17,9.1,,,,1.09,,1.46,2,841671085.00,Large Value
OVB Equity-Income A,OVEIX,13.77,12.52,13.77,,,,1.94,,1.11,2,185300007.00,Large Value
OVB Equity-Income B,,13.5,12.5,13.5,,,,1.72,,1.36,2,7275271.00,Large Value
PaineWebber Pace Large Co Value Eqty,PCLVX,18.65,16.55,18.65,22.84,,,0.65,****,,3,375185815.00,Large Value
Payden & Rygel Growth & Income R,PDOGX,18.1,13.72,18.1,,,,1.39,,0.54,2,502978619.00,Large Value
PBHG Large Cap Value PBHG,PLCVX,34.78,28.21,34.78,,,,0.65,,1.17,1,32115636.00,Large Value
Pegasus Equity-Income I,PEINX,0.18,6.25,0.18,13.48,,,2.98,***,0.7,2,265761762.00,Large Value
Pelican,PELFX,11.67,13.02,11.67,19.47,17.94,,1.68,****,1.1,9,207514032.00,Large Value
Philadelphia,PHILX,11.13,8.26,11.13,19.37,14.82,13.31,1.26,***,1.53,11,19685094.00,Large Value
Pillar Equity-Income I,PLIAX,11.42,13.94,11.42,19.02,16.92,,1.98,***,0.8,2,885491.00,Large Value
Preferred Value,PFVLX,14.39,17.21,14.39,22.42,20.49,,1.02,****,0.84,6,18346281.00,Large Value
Profit Value,,31.67,30.11,31.67,,,,0,,1.95,1,7212.00,Large Value
Prudential Equity Z,PEQZX,8.56,14.26,8.56,,,,1.55,,0.63,2,555236657.00,Large Value
Quaker Aggressive Growth,QUAGX,29.78,19.2,29.78,,,,0.43,,1.34,2,13848307.00,Large Value
Regions Value Tr,RVLAX,,15.26,,,,,,,,0,312921412.00,Large Value
Republic Equity A,REPEX,29.2,23.29,29.2,24.18,,,0.29,****,,,57731791.00,Large Value
Republic Equity Y,REQYX,29.59,23.38,29.59,,,,0.49,,,,312182.00,Large Value
Rockhaven,RAMEX,11.88,17.11,11.88,,,,1.16,,1.49,1,10103417.00,Large Value
RSI Retirement Trust Value Equity,RSIVX,17.9,21.01,17.9,25.04,20.96,14.66,0,****,1.2,3,205368870.00,Large Value
RWB/DFA U.S. High Book to Market,DFBMX,12.06,16.84,12.06,,,,1.48,,,2,98445429.00,Large Value
Safeco Income No Load,SAFIX,6.31,14.55,6.31,18.56,16.53,13.46,2.59,***,0.85,2,10367000.00,Large Value
Safeco U.S. Value No Load,SAFVX,12.61,16.27,12.61,,,,0.99,,1.19,1,6924093.00,Large Value
Salomon Brothers Investors O,SAIFX,15.44,17.44,15.44,23.94,20.58,16.6,0.95,****,0.69,1,1702321948.00,Large Value
Salomon Brothers Opportunity,SAOPX,4.86,13.81,4.86,18.58,17.83,14.5,0.84,***,1.12,19,17.00,Large Value
Saratoga Large Capitalization Value,SLCVX,11.77,14.9,11.77,20.25,,,0.43,****,1.3,4,178891567.00,Large Value
Scudder Growth & Income,SCDGX,6.07,11.41,6.07,19.09,17.85,16.38,2.15,****,0.76,12,274613.00,Large Value
Scudder Large Company Value,SCDUX,9.5,15.99,9.5,20.16,15.54,15.44,0.61,***,0.93,3,4837020.00,Large Value
SEI Instl Mgd Equity-Income A,SEEIX,16.12,17.43,16.12,20.11,18.66,15.86,2.11,****,0.85,4,1178255.00,Large Value
SEI Instl Mgd Large Cap Value A,TRMVX,11.35,16.58,11.35,22.41,19.42,14.37,1.26,****,0.85,1,62521729.00,Large Value
SEI Instl Mgd Tax-Managed Large Cap A,TMLCX,,24.61,,,,,,,,,3425420.00,Large Value
Selected American,SLASX,16.27,22.19,16.27,27.81,22.77,18.04,0.48,*****,0.96,1,2500373.00,Large Value
Sequoia,SEQUX,35.25,20.34,35.25,33.1,28.07,21.81,0.22,*****,1,28,614345984.00,Large Value
Stagecoach Equity Value Instl,PCEIX,7.05,14.16,7.05,19.98,,,1.15,***,0.95,1,9580849.00,Large Value
Standish Tax-Sensitive Equity,SDTSX,15.36,24.36,15.36,27.6,,,0.6,*****,0.5,2,235170235.00,Large Value
Star Relative Value Y,STRVX,18.5,21.37,18.5,,,,0.8,,,,686305496.00,Large Value
Strategist Equity-Income,,11.74,15.68,11.74,,,,1.6,,1.25,1,21018805.00,Large Value
Stratton Growth,STRGX,11.46,15.47,11.46,20.08,20.64,15.14,1.62,****,1.11,26,57736840.00,Large Value
Strong Dow 30 Value,SDOWX,16.11,15.36,16.11,,,,1.57,,,1,2102894.00,Large Value
T. Rowe Price Equity-Income,PRFDX,9.23,11.1,9.23,19.21,18.75,15.18,2.19,****,0.79,13,5360392.00,Large Value
Target Large Capitalization Value,TALVX,10.25,12.95,10.25,19.47,18.14,,1.54,****,0.72,5,55277244.00,Large Value
Torray,TORYX,8.19,21.27,8.19,24.18,24.16,,0.38,*****,1.13,8,112375332.00,Large Value
UAM Chicago Asset Mgmt Value/Contr,CAMEX,15.86,16.81,15.86,16.19,,,0.94,***,0.95,4,1272529.00,Large Value
UAM DSI Disciplined Value Instl,DSIDX,10.19,14.2,10.19,18.44,16.69,,1.05,***,1.05,1,100400000.00,Large Value
UAM DSI Disciplined Value Instl Svc,DSVIX,9.88,14.15,9.88,,,,0.77,,1.3,1,50774416.00,Large Value
UAM ICM Equity,ICMEX,-3.37,11.49,-3.37,17.41,16.32,,1.8,***,0.9,0,13975832.00,Large Value
UAM TJ Core Equity Instl Svc,TJCEX,30.1,20.65,30.1,26.15,,,0.5,*****,1.26,3,180017327.00,Large Value
Undiscovered Managers All Cap Value,,14.75,21.04,14.75,,,,0.17,,,1,36494862.00,Large Value
Undiscovered Managers Core Equity,,21.47,16.04,21.47,,,,0.55,,,1,970714.00,Large Value
USAA Growth & Income,USGRX,6.46,17.52,6.46,18.19,17.08,,1,***,0.85,5,617906791.00,Large Value
USAA Income Stock,USISX,8.1,10.71,8.1,17.67,15.79,14.85,3.45,****,0.65,0,12378468.00,Large Value
Vanguard Equity-Income,VEIPX,17.34,13.23,17.34,21.8,19.55,15.62,2.5,****,0.45,10,571504906.00,Large Value
Vanguard Growth & Income,VQNPX,23.94,20.59,23.94,27.41,22.81,19.03,1.03,*****,0.36,12,1336726769.00,Large Value
Vanguard Value Index,VIVAX,14.64,17.5,14.64,21.91,19.79,,1.54,****,0.2,6,17788603.00,Large Value
Vanguard Windsor,VWNDX,0.81,13.46,0.81,15.82,15.09,13.37,1.49,***,0.27,3,243641378.00,Large Value
Vanguard Windsor II,VWNFX,16.36,14.92,16.36,24.13,21.29,17.33,1.97,****,0.37,13,37494157.00,Large Value
Vontobel U.S. Value,VUSVX,14.71,17.92,14.71,23.16,21.27,,0.86,*****,1.58,8,287305636.00,Large Value
Wachovia Quantitative Equity Y,BTQYX,24.59,23.29,24.59,,,,1.04,,0.87,1,22484289.00,Large Value
Warburg Pincus Advisor Growth & Inc,WGITX,12.23,16.49,12.23,12.76,,,0.34,**,1.54,1,1003952129.00,Large Value
Warburg Pincus Growth & Income Comm,RBEGX,12.66,16.54,12.66,13.18,13.44,14.67,0.7,***,1.15,1,8566475.00,Large Value
Warburg Pincus Instl Value,WPIVX,13.75,16.7,13.75,,,,1.08,,0.75,1,9903000.00,Large Value
Westcore Blue Chip,WTMVX,17.88,20.31,17.88,23.22,20.7,16.87,0.44,****,1.15,7,1304803918.00,Large Value
Wilshire Target Large Co Value Instl,WLCVX,10.45,13.73,10.45,,,,1.57,,0.76,2,1880705.00,Large Value
Wilshire Target Large Co Value Invmt,DTLVX,10.31,13.63,10.31,19.24,17.61,,1.44,***,0.86,6,38926819.00,Large Value
Accessor Growth,AGROX,46.65,27.65,46.65,32.79,26.74,,0.11,*****,0.93,0,157202582.00,Large Growth
Advantus Horizon C,,33.43,21.08,33.43,25.26,,,,****,2.07,2,2635642.00,Large Growth
AIM Weingarten Instl,,33.03,27.61,33.03,25.77,21.95,,0.39,****,0.64,7,89623964.00,Large Growth
Alger Capital Appreciation Retirement,ALARX,63.44,33.02,63.44,31.29,26.23,,0,****,1.62,5,6452887.00,Large Growth
Alger Growth Retirement,ALGRX,49.97,27.08,49.97,28.37,23.43,,0,****,1.06,5,44115995.00,Large Growth
American Capital Exchange,ACEHX,29.36,15.94,29.36,28.08,23.91,18.75,0.41,*****,0.88,8,86374055.00,Large Growth
American Cent-20th Cent Growth Adv,TCRAX,36.54,20.44,36.54,,,,,,1.25,0,6859540.00,Large Growth
American Cent-20th Cent Growth Instl,TWGIX,37.16,20.59,37.16,,,,,,0.8,0,178941.00,Large Growth
American Cent-20th Cent Growth Inv,TWCGX,36.82,20.5,36.82,26.71,19.25,18.74,0,****,1,0,6493188956.00,Large Growth
American Cent-20th Cent Ultra Adv,TWUAX,34.23,22.93,34.23,,,,,,1.25,2,119163708.00,Large Growth
American Cent-20th Cent Ultra Inst,TWUIX,34.86,23.05,34.86,,,,,,0.8,2,30569508.00,Large Growth
American Cent-20th Cent Ultra Inv,TWCUX,34.56,23.02,34.56,23.56,20.14,24.04,0,****,1,2,27149970442.00,Large Growth
American Trust Allegiance,,36.22,27.07,36.22,,,,,,1.45,1,11629220.00,Large Growth
Ark Capital Growth Instl,ARCGX,41.21,35.07,41.21,29.1,19.04,,0,****,0.39,2,75073830.00,Large Growth
Armada Equity Growth Instl,AEQIX,29.09,22.87,29.09,28.51,22.1,,0,*****,0.97,0,1291521272.00,Large Growth
Armada Tax Managed Equity Instl,AETIX,,22.87,,,,,,,,,243348283.00,Large Growth
Armstrong Associates,ARMSX,19.29,23.34,19.29,14.22,13.33,11.27,4.02,**,1.3,30,15121159.00,Large Growth
Babson Growth,BABSX,32.24,26.23,32.24,27.27,21.92,16.28,0.17,****,0.8,3,512059968.00,Large Growth
BB&T Large Company Growth Tr,BLCTX,25.18,24.26,25.18,,,,,,,,66139868.00,Large Growth
Bear Stearns S&P Stars Y,BSSPX,40.09,28.56,40.09,28.4,,,,****,1,0,36990796.00,Large Growth
Berger 100,BEONX,16.23,30.38,16.23,14.5,11.2,19.45,0,***,1.3,1,1497912757.00,Large Growth
Berger Growth & Income,BEOOX,22.49,20.89,22.49,20.22,14.38,16.27,0.22,***,1.44,0,318465306.00,Large Growth
BlackRock Large Cap Gr Eq Instl,PNAPX,41.31,26.28,41.31,29.75,21.46,,0,****,0.75,1,1109635752.00,Large Growth
BlackRock Large Cap Gr Eq Svc,PNGEX,40.89,26.26,40.89,29.38,21.11,,0,****,1.05,1,235340427.00,Large Growth
Boston 1784 Growth & Income,SEGWX,22.7,17.32,22.7,21.99,18.79,,0.18,****,0.9,5,579090506.00,Large Growth
Bramwell Growth,BRGRX,34.5,22.7,34.5,26.58,,,,****,1.66,4,248483638.00,Large Growth
Bremer Growth Stock,BSTKX,29.91,26.84,29.91,,,,,,1.05,1,68079293.00,Large Growth
Bridgeway Social Responsibility,BRSRX,37.8,25.92,37.8,26.86,,,,*****,1.5,4,1697266.00,Large Growth
Capital Exchange,CAPEX,25.75,21.53,25.75,27.78,24.87,19.12,0.67,*****,0.64,8,175721832.00,Large Growth
Chase Equity-Growth Instl,RITEX,41.38,27.4,41.38,32.72,23.85,17.84,0.06,*****,1,4,178878495.00,Large Growth
Chase Growth,,29.64,23.69,29.64,,,,,,1.47,1,5693819.00,Large Growth
Chase Vista Select Large Cap Growth,VSLGX,40.83,25.97,40.83,,,,,,0.02,2,746606607.00,Large Growth
Chicago Trust Growth & Income,CHTIX,35.45,23.68,35.45,29.12,24.01,,0.03,*****,1.07,5,428239935.00,Large Growth
CitiFunds Large Cap Growth,CFLGX,37.19,22.62,37.19,27.07,21.12,,0,****,1.05,3,486976534.00,Large Growth
Citizens Index,WAIDX,42.75,27.49,42.75,33.34,,,,*****,1.59,0,437864620.00,Large Growth
Citizens Index Instl,WINIX,43.79,27.75,43.79,,,,,,0.88,0,43704798.00,Large Growth
Columbia Growth,CLMBX,30.34,25.59,30.34,25.79,21.32,18.8,0.18,****,0.71,7,1588204311.00,Large Growth
Consulting Group Large Cap Growth,TLGUX,38.06,26.05,38.06,29.2,23.28,,0.13,*****,0.69,0,2164674000.00,Large Growth
